report,session,session_count,model,total_cost,cost_per_session,api_time,tokens_in,tokens_out,cache_read,cache_write,total_tokens,cost_per_1k_tokens,notes
2026-06-21,2026-06-21 operator session,13,opus 4.8,$126.97,$9.77,2:10:31,44000,481500,182300000,2400000,525500,$0.24,member_set=2026-06-21/transient-agent-error-retry|2026-06-21/validate-blocker-base-ref (2.1)|2026-06-21/snapshot-gate (deferred plan)|2026-06-21/snapshot-gate (2.2)|2026-06-21/patch-rules-mid-edit (2.3)|2026-06-21/plan-pr-auto-ready (blocked no-op)|2026-06-21/flaky-serial-retry (3)|2026-06-21/completion-gate-unsafe (4)|2026-06-21/intent-no-commit (8)|2026-06-21/run-cli-papercuts (6)|2026-06-21/operator-runbook (9)|2026-06-21/plan-git-false (11)|2026-06-21/test-audit (10); session_base=325bb75
2026-06-22,2026-06-22 operator session (batch + operator combined),11,opus 4.8,$97.88,$8.90,2:27:08,67700,586500,138200000,1400000,654200,$0.15,combined 6/22 sessions; operator cost covers both; member_set=2026-06-22/test-suite-audit|2026-06-22/harness-transient|2026-06-22/deflake|2026-06-22/codex-path-cache|2026-06-22/correct-agent-default-models|2026-06-22/agent-transient-retry-backoff|2026-06-22/flaky-serial-retry-mid-work|2026-06-22/intent-split-emit-contract|2026-06-22/intent-pr-auto-ready|2026-06-22/harness-suggestion-intake|2026-06-22/finalize-complete-but-dirty (#390); session_base=ad9752e
2026-06-23-wrapup,2026-06-23 wrap-up operator session,6,opus 4.8,$51.71,$8.62,1:01:29,34700,222100,73800000,908500,256800,$0.20,member_set=2026-06-23-wrapup/ready-gate-no-nonnull-autofix (gate bug)|2026-06-23-wrapup/escalate-actuator-on-no-progress|2026-06-23-wrapup/intake-url-on-operator-read-surfaces (doc surfaces)|2026-06-23-wrapup/intake-nudge-on-cli-run-completion (CLI nudge)|2026-06-23-wrapup/custom-ready-gate-command|2026-06-23-wrapup/prompt-mode-end-of-run-summary; session_base=13ad76b
2026-06-23-operator,2026-06-23 operator session (9-spec mega),9,opus 4.8,$34.75,$3.86,0:59:33,22700,224838,47900000,505400,247538,$0.14,route-by-target overhaul + rename; codex offload on 4 specs kept cost low
2026-06-24-operator,2026-06-24 operator session (seed run; 11-spec),11,opus 4.8,$57.71,$5.25,1:09:03,24700,214635,68200000,1800000,239335,$0.24,observer /cost opus 4.8 $57.71; jarvis spend ~76 (specs 69.34 + ~7 intents); codex dropped from config pending re-auth; per-spec token/time cols blank (not re-parsed)
2026-06-25T11-31-26Z-operator,2026-06-25-operator,6,claude-opus-4-8,$42.20,$7.03,0:57:31,50600,211700,54200000,956300,262300,$0.16,member_set=2026-06-25T11-31-26Z-operator/{sync-ready-pipeline-recitations-in-docs|plan-rerun-reuses-surviving-worktree|auth-error-rotates-to-next-agent|review-actuator-push-stays-convergent|converge-and-ready-pr-head-on-rejected-actuator-push|dep-adding-specs-install-unattended}; session_base=bbd56d7f; observer /cost opus 4.8 $42.20 total (haiku classifier $0.18 included in total but excluded from tokens); tokens/cache are opus line
2026-06-25T22-27-28Z-operator,2026-06-25 operator session (seed-intent-complete5),6,claude-opus-4-8,$29.65,$4.94,0:45:49,20400,172400,35100000,771300,192800,$0.15,member_set=2026-06-25T22-27-28Z-operator/{run-human-only-criteria-open-pr-not-block|run-tolerates-noncontract-repo-line-in-index|exit10-verified-green-marks-ready|plan-does-not-emit-noncontract-index-lines|intent-generated-ready-intents-pass-lint-md|commit-false-rerun-resets-killed-run}; session_base=01238d47; observer /usage opus 4.8 $29.65 (haiku classifier $0.0016 in total excluded from tokens); jarvis run spend $32.02; out-of-band not in session_count: 5 intent runs (cost unrecorded by command) to 8 ready-intents merged; 2 issues seeded #536 #533; 4 gap seeds; runbook #542 #563; report-cost #564; #555 impl reverted #561
2026-06-27T03-35-08Z-operator,2026-06-26 -> 06-27 operator session (issue-backlog drain 17-spec),17,claude-opus-4-8,111.32,6.55,2:13:49,54800,509700,165500000,1600000,564500,$0.20,"member_set=2026-06-27T03-35-08Z-operator/{plan-review-actuator-writes-subspec-to-resolved-spec-dir|actuator-model-capability-floor|per-subrole-agent-order-tiering|plan-commitfalse-boundary-scoped-to-own-spec-dir|intent-emit-lint-md-clean-ready-intents-pinned-autofix|ready-gate-retry-bound-test-coverage|patch-rules-discourage-agent-self-commits|commit-false-intent-validates-external-seeds-dir|patch-completion-commit-tolerates-self-committed-tree|improve-template-pr-narrative-quality|cleanup-archives-commitfalse-external-specs|deflake-spawn-classification-retry-test|commit-false-rerun-resets-killed-run|prnarrative-default-deliberate-choice|plan-generated-spec-markdown-passes-lint-md|commit-false-rerun-cleanup-hygiene|commit-false-reset-once-per-run}; observer /cost opus 4.8 $111.32 total (haiku classifier $0.0015 in total excluded from tokens); tokens/cache are opus line; jarvis run+plan spend $91.77 Jarvis-on-Jarvis (groceries-client excluded), per-spec table in report; jarvis intent runs print no cost (unrecorded); session_base=f8c766ae; 12 specs run (11 shipped + intent-emit parked 9/11) + 5 plan-only (4 #520-stale blocked + 1 prnarrative deferred); out-of-band not in count: intent seeds + lint-recovery PRs #581/#600/#615 + issue triage"
2026-06-27T12-41-55Z-operator,2026-06-27 operator session (close all open issues),10,claude-opus-4-8,40.11,4.01,0:58:22,35200,216600,55900000,657600,251800,$0.16,"member_set={cleanup-archive-external|retry-transient|normalize-residual|warn-on-pool|source-spec-reset|workspace-cleanup|init-scaffolds|failure-exits-cite|runbook-add|prnarrative}; operator /cost $40.11 opus 4.8 (haiku classifier $0.0014 excluded from tokens); wall 8h29m54s; 367 lines added/5 removed; jarvis captured spend ~$62.32 (plans ~$23.74 + runs ~$38.58), excl 11 unrecorded intent runs + 3 review-feedback rounds + no-op recovery runs; runs.jsonl cost_usd=$0 (subscription agents); all 4 issues #566/#585/#520/#598 closed"
2026-06-27T18-36-37Z-operator,2026-06-27 operator session (Tier 1+2 drain + red-main recovery),8,claude-opus-4-8,50.93,6.37,1:13:44,31700,286900,72900000,713500,318600,$0.16,"member_set={worktree-fresh-base|ready-flip|cleanup-retires|merge-on-green|finalize-dirty|merge-target|finalize-refuses(plan-only)|intent-autofix(run-only #677)}; operator /cost $50.93 opus-4-8 (haiku classifier $0.0016 excluded from tokens); wall 4h14m3s; 495 lines added/13 removed; jarvis real spend ~$26.2 (cursor $0 all-Included this session, confirmed via cursor usage export); cursor imputed-notional $4.86 = 19.7M real tok (1.45M in/18.0M cache/209k out) x Composer 2.5 data/prices.json rate ($0.5/$0.2/$2.5 per Mtok); per-run CLI ests (~$0.03) were ~500x low on tokens; spend dominated by red-main recovery spiral not intent work; main went red (ready!=CI) + node_modules symlink, recovered via hotfix #694/#696"
2026-06-28T02-00-00Z-fix-commit-ready-order,2026-06-28 fix-commit-ready-order rescue,1,claude-opus-4-8,22.1,22.1,0:40:50,20100,169900,27400000,457500,190000,$0.12,single-spec manual rescue; jarvis run-spend $0 (manual impl + token-free triage gates); operator /cost $22.10 opus-4-8 (haiku classifier $0.0006 excluded from tokens); wall 2h32m54s; 261 lines added/113 removed; PR #734
2026-06-28T04-26-07Z-operator,2026-06-27/28 v2 Phase 3 daemon,4,claude-opus-4-8,45.41,11.35,0:57:58,23800,200400,70800000,488300,224200,$0.20,operator /cost $45.41 opus-4-8 (haiku classifier $0.0017 excluded from tokens); jarvis run+plan spend ≈$23.93 across 4 specs; wall 6h38m50s; 453 lines added/68 removed; drove all 4 Phase 3 intents seed→intent→plan→run→merge
2026-06-28T12-39-28Z-operator,2026-06-28 marker intents,2,claude-opus-4-8,12.94,6.47,0:14:10,2600,50400,10500000,641100,53000,$0.24,operator /cost $12.94 opus-4-8 (haiku classifier $0.0009 excluded from tokens); jarvis run spend ≈$8.46 across 2 specs (plan-phase cost not captured); wall 9h53m31s; 157 lines added/1 removed; drove both .active-spec-path marker intents seed→plan→run→merge; +seed #748
2026-06-28T13-40-00Z-operator,2026-06-28 v2 handler-factory chain,3,claude-opus-4-8,12.29,4.1,0:20:34,7300,79600,12500000,400800,86900,$0.14,operator /cost $12.29 opus-4-8 (haiku classifier $0.0008 excluded from tokens); jarvis plan+run spend ≈$3.33 across 3 specs; wall 9h14m04s; 136 lines added/0 removed; drove daemon handler-factory chain plan→run→merge (cursor-first kept claude spend ~0); +seed #757 cleanup-no-archive-in-flight-impl; 2 memories
2026-06-28T23-01-08Z-operator,2026-06-28 Tier A v2 test-honesty,3,claude-opus-4-8,12.3,4.1,0:22:07,9500,81500,16700000,185200,91000,$0.14,"operator /cost $12.30 opus-4-8 (haiku classifier $0.0008 excluded from tokens); wall 2h52m05s; 161 lines added/4 removed; jarvis spend $0.1434 across 3 specs all cursor (claude untouched per ~95% weekly limit); reordered agentOrder cursor→opencode→claude→codex; verified opencode Zen free model; +seeds #768 (#766 triage), #775 (agent-override + auto-integrate-base)"
2026-06-29T04-57-44Z-operator,2026-06-29 Tier 1 ready-intents + model-tiering,5,claude-opus-4-8,14.36,2.87,0:26:18,20000,93500,19600000,213800,113500,$0.13,"operator /cost $14.36 opus-4-8 (haiku classifier $0.0008 excluded from tokens); wall 5h10m12s; 169 added/27 removed; jarvis spend ~$2.83 across 5 specs, cursor-primary + GLM5.2 escalation, NO claude agent (quota preserved); $2.53 of that = single GLM impl escalation after cursor timed out; +seeds #782 (GLM registration) #786 (timeout-flake + per-run-agent-override); set config cursor->GLM5.2 after cursor; jarvis1 cleanup deferred (concurrent operator session live)"
2026-06-29T14-20-08Z-operator,2026-06-29 v1 ready-intents tiers 2 and 3,6,gpt-5.5,20.49,3.41,,996802,63775,28569088,,1060577,$0.02,"Codex rollout estimate from token_count event 2026-06-29T14:21:47Z; formula charges uncached input plus cache-read input plus output using data/prices.json; no Codex /cost api_time available; shipped Jarvis spend rows total $0.86, observed incl abandoned false-start ~$1.85; tiers 2+3 shipped; cleanup completed"
